X,Y,Topography,Grav,Mag
742450,1580460,579.5720418,-77.947333,20.47322655
743650,1580460,578.8724365,-79.3349966,56.40705109
744850,1580460,638.0312398,-80.64459882,71.91756439
746050,1580460,682.6618347,-81.55745835,80.08535004
747250,1580460,608.5651754,-80.81086392,48.6099472
748450,1580460,564.4452413,-80.37325568,67.49669647
749650,1580460,558.0028687,-79.80318637,67.41936493
750850,1580460,553.0510763,-79.33054814,61.72890472
752050,1580460,545.8552755,-79.05115418,85.5269928
753250,1580460,540.8671468,-79.19763894,64.45697021
754450,1580460,545.3864644,-79.59778137,28.8613224
755650,1580460,552.4177348,-79.63212094,23.70944023
756850,1580460,559.723348,-78.90603704,-16.62667656
758050,1580460,568.1126506,-78.03344421,-67.59596252
759250,1580460,571.1513977,-77.94648123,-36.5644989
760450,1580460,569.3568319,-79.22974892,-30.16667557
761650,1580460,562.0552368,-79.68016,-65.2270813
762850,1580460,566.0231832,-80.82665963,-33.01745224
764050,1580460,572.2012634,-81.87865157,-21.67290497
765250,1580460,568.9041341,-82.53793693,-88.90708923
766450,1580460,563.7759705,-82.62914548,-24.281353
767650,1580460,564.0547791,-82.2275949,4.251144409
768850,1580460,558.2330017,-81.03444033,-0.215444565
770050,1580460,552.6769307,-77.68610806,-122.2966385
771250,1580460,544.1355693,-72.54111071,-129.961731
772450,1580460,507.8321889,-72.19163227,-89.8899231
773650,1580460,477.0398661,-75.93661757,-140.4064331
774850,1580460,467.674825,-80.68357267,-107.1220169
776050,1580460,472.4087219,-81.73211808,-98.29386139
777250,1580460,457.1687012,-81.99978299,-117.558403
778450,1580460,442.9238536,-84.13882599,-70.13442993
779650,1580460,437.8703715,-87.46411195,-57.42204285
780850,1580460,441.1137644,-89.44010653,-54.78966522
782050,1580460,442.4209493,-89.97067823,-52.48766327
783250,1580460,434.2331899,-90.55658989,-30.78464508
784450,1580460,434.1899567,-90.96035557,-29.75143814
785650,1580460,433.4676208,-90.75292406,-20.99738693
786850,1580460,434.6679891,-89.61246171,8.153209686
788050,1580460,427.3497874,-87.81189003,-26.89161873
789250,1580460,427.4018962,-86.26097336,11.88932228
790450,1580460,432.7339325,-87.14138722,31.4725666
791650,1580460,421.2935282,-86.86130404,70.01064301
792850,1580460,415.0610555,-85.84298306,-34.47853088
794050,1580460,419.2000631,-84.87467079,-43.07087708
608050,1581660,606.0980428,-95.74411473,-5.33718586
609250,1581660,611.1400655,-96.00102601,-15.3791666
610450,1581660,617.987498,-96.88418884,-16.34387398
611650,1581660,624.6988525,-97.27218437,-7.804632187
612850,1581660,632.1022949,-97.11447272,-22.93805313
614050,1581660,636.1074015,-96.95486937,-30.22917938
615250,1581660,642.8125305,-96.18903179,-16.07130814
616450,1581660,654.3701274,-93.54560204,-35.11270905
617650,1581660,669.1860555,-92.56051507,-24.52900314
618850,1581660,681.6449382,-93.68668733,-9.171398163
620050,1581660,699.2431946,-94.06983929,-7.826817513
621250,1581660,710.1998291,-94.35649719,-12.55407524
622450,1581660,729.24587,-95.03334494,-9.218753815
623650,1581660,752.5648905,-92.26062031,-5.391780853
624850,1581660,766.8594259,-90.67542171,3.946842194
626050,1581660,756.8239543,-89.74840255,13.17079353
627250,1581660,745.9876506,-87.24434829,0.964422226
628450,1581660,747.1949361,-86.51605215,-12.85321426
629650,1581660,743.894694,-88.64385672,-12.2393074
630850,1581660,736.2336019,-89.80341387,-9.528427124
632050,1581660,736.5431824,-92.48036761,-12.84756947
633250,1581660,732.1486308,-91.88524251,8.121162415
634450,1581660,727.6922201,-91.74164491,-4.408306122
635650,1581660,722.3404236,-91.86702371,-7.745668411
636850,1581660,714.3622131,-92.03328843,-12.16222668
